alpha,Lambda,FpoFs
#alpha=-180
 160,2.3942, 0.000556475560
 160,2.3536, 0.000578828843
 160,2.3143, 0.000599476979
 160,2.2765, 0.000649466104
 160,2.2400, 0.000643972683
 160,2.2089, 0.000621563451
 160,2.1828, 0.000610648141
 160,2.1625, 0.000614421262
 160,2.1477, 0.000563886490
 160,2.1365, 0.000555231734
 160,2.1288, 0.000528601816
 160,2.1136, 0.000506541492
 160,2.0911, 0.000459612572
 160,2.0698, 0.000419763818
 160,2.0498, 0.000383780090
 160,2.0298, 0.000357301748
 160,2.0098, 0.000321296355
 160,1.9820, 0.000311437647
 160,1.9470, 0.000308633559
 160,1.9163, 0.000299503598
 160,1.8894, 0.000279597980
 160,1.8631, 0.000240489746
 160,1.8374, 0.000252256101
 160,1.8123, 0.000261426658
 160,1.7884, 0.000278104819
 160,1.7656, 0.000309156641
 160,1.7405, 0.000367291417
 160,1.7133, 0.000403846979
 160,1.6915, 0.000437288209
 160,1.6749, 0.000445361114
 160,1.6598, 0.000415808020
 160,1.6461, 0.000402816837
 160,1.6274, 0.000368242846
 160,1.6040, 0.000339908731
 160,1.5837, 0.000321765333
 160,1.5672, 0.000287904720
 160,1.5523, 0.000258525157
 160,1.5376, 0.000229580053
 160,1.5226, 0.000208585719
 160,1.5060, 0.000191252863
 160,1.4881, 0.000164104612
 160,1.4706, 0.000150913436
 160,1.4524, 0.000144274090
 160,1.4337, 0.000122865569
 160,1.4159, 0.000120395094
 160,1.4001, 0.000133652937
 160,1.3865, 0.000138825539
 160,1.3741, 0.000131176074
 160,1.3583, 0.000130397255
 160,1.3393, 0.000162050447
 160,1.3185, 0.000308754197
 160,1.2960, 0.000312163555
 160,1.2761, 0.000308814082
 160,1.2586, 0.000256886934
 160,1.2411, 0.000256396938
 160,1.2236, 0.000259529308
 160,1.2061, 0.000216387901
 160,1.1886, 0.000183448068
 160,1.1692, 0.000167538013
 160,1.1482, 0.000164832411
 160,1.1256, 0.000154563107
 160,1.1016, 0.000155314543
 160,1.0802, 0.000177762819
 160,1.0613, 0.000122934300
 160,1.0396, 0.000114576611
 160,1.0156, 0.000095100058
 160,0.9960, 0.000078221413
 160,0.9804, 0.000078561333
 160,0.9628, 0.000069230074
 160,0.9439, 0.000049328594
 160,0.9315, 0.000035793467
 160,0.9189, 0.000060736014
 160,0.9040, 0.000048912365
 160,0.8915, 0.000031881373
 160,0.8774, 0.000033532619
 160,0.8655, 0.000021127450
 160,0.8522, 0.000014598168
 160,0.8341, 0.000021826386
 160,0.8223, 0.000021347429
 160,0.8097, 0.000017664625
 160,0.7924, 0.000007359609
 160,0.7774, 0.000005833636
 160,0.7650, 0.000004192757
 160,0.7524, 0.000008314118
 160,0.7390, 0.000007675634
 160,0.7288, 0.000005167425
 160,0.7143, 0.000004310413
 160,0.6969, 0.000003672557
 160,0.6771, 0.000003114522
 160,0.6574, 0.000002332585
 160,0.6424, 0.000001930921
 160,0.6280, 0.000001853110
 160,0.6165, 0.000001483072
 160,0.6044, 0.000001121301
 160,0.5909, 0.000001153911
 160,0.5784, 0.000000751488
 160,0.5654, 0.000000845014
 160,0.5519, 0.000000703841
 160,0.5369, 0.000000539781
 160,0.5235, 0.000000647184
 160,0.5064, 0.000000569867
 160,0.4849, 0.000000439354
 160,0.4648, 0.000000339220
 160,0.4448, 0.000000426848
 160,0.4258, 0.000000821372
 160,0.4083, 0.000001420252
 160,0.3871, 0.000002715019
 160,0.3621, 0.000003031707
 160,0.3370, 0.000001995279
 160,0.3120, 0.000001808412
 160,0.2870, 0.000000828712
 160,0.2679, 0.000001501164


#alpha= 180
 180,227.5313, 0.004136950799
 180,138.7925, 0.003727320168
 180,97.7517, 0.003492556650
 180,73.6920, 0.003264494699
 180,53.8793, 0.003093970450
 180,42.2119, 0.002929815599
 180,35.7526, 0.002871488898
 180,29.7000, 0.002836375642
 180,24.8385, 0.002754835839
 180,21.3950, 0.002654731550
 180,19.3817, 0.002615327602
 180,18.1802, 0.002579838679
 180,16.9779, 0.002563966766
 180,15.7766, 0.002554179505
 180,14.5751, 0.002522421702
 180,13.5879, 0.002531586610
 180,12.7869, 0.002551333103
 180,11.9861, 0.002570010917
 180,11.2918, 0.002593588293
 180,10.6918, 0.002568188109
 180,10.0913, 0.002537767778
 180,9.6479, 0.002460915565
 180,9.3475, 0.002329339638
 180,8.9952, 0.002189087797
 180,8.6730, 0.002029400420
 180,8.3452, 0.001872748297
 180,8.0743, 0.001799910624
 180,7.9039, 0.001730231216
 180,7.7140, 0.001714371209
 180,7.4982, 0.001713508033
 180,7.2839, 0.001659707017
 180,7.0937, 0.001633959195
 180,6.8726, 0.001572493177
 180,6.6638, 0.001479951852
 180,6.5153, 0.001529990900
 180,6.2974, 0.001776994692
 180,6.0639, 0.001666600568
 180,5.8990, 0.001531154944
 180,5.7594, 0.001499849994
 180,5.5721, 0.001462818226
 180,5.3791, 0.001441953926
 180,5.2647, 0.001434109549
 180,5.1491, 0.001402605399
 180,4.9998, 0.001357487065
 180,4.8816, 0.001331720437
 180,4.8274, 0.001317698944
 180,4.7964, 0.001313741704
 180,4.7498, 0.001318501219
 180,4.6999, 0.001318310138
 180,4.6623, 0.001325236673
 180,4.6050, 0.001253143228
 180,4.5041, 0.001241747338
 180,4.3952, 0.001313081620
 180,4.3007, 0.001383444401
 180,4.2019, 0.001463029971
 180,4.0737, 0.001582586568
 180,3.9494, 0.001717125784
 180,3.8493, 0.001659108578
 180,3.7493, 0.001528941204
 180,3.6621, 0.001358413240
 180,3.5871, 0.001230559910
 180,3.5131, 0.001122444540
 180,3.4381, 0.001038152068
 180,3.3634, 0.000940937441
 180,3.3078, 0.000895553287
 180,3.2691, 0.000865374483
 180,3.2309, 0.000786860840
 180,3.1934, 0.000743156488
 180,3.1559, 0.000704202231
 180,3.1184, 0.000686095507
 180,3.0848, 0.000646689672
 180,3.0548, 0.000636455869
 180,3.0145, 0.000596452729
 180,2.9647, 0.000545557674
 180,2.9086, 0.000520299797
 180,2.8468, 0.000491259152
 180,2.7875, 0.000473471883
 180,2.7304, 0.000460447901
 180,2.6756, 0.000482259405
 180,2.6230, 0.000474556547
 180,2.5736, 0.000420016866
 180,2.5272, 0.000415777011
 180,2.4816, 0.000471473122
 180,2.4368, 0.000536987751
 180,2.3942, 0.000601871690
 180,2.3536, 0.000629609614
 180,2.3143, 0.000653101047
 180,2.2765, 0.000707610884
 180,2.2400, 0.000699520458
 180,2.2089, 0.000672818164
 180,2.1828, 0.000657973680
 180,2.1625, 0.000660436640
 180,2.1477, 0.000605025748
 180,2.1365, 0.000594842242
 180,2.1288, 0.000566277958
 180,2.1136, 0.000542888228
 180,2.0911, 0.000492386649
 180,2.0698, 0.000450224724
 180,2.0498, 0.000412525325
 180,2.0298, 0.000384995967
 180,2.0098, 0.000347672486
 180,1.9820, 0.000339069241
 180,1.9470, 0.000337159115
 180,1.9163, 0.000325558253
 180,1.8894, 0.000304009465
 180,1.8631, 0.000261321189
 180,1.8374, 0.000275376582
 180,1.8123, 0.000286296567
 180,1.7884, 0.000304047827
 180,1.7656, 0.000337484626
 180,1.7405, 0.000399146250
 180,1.7133, 0.000435640286
 180,1.6915, 0.000469652603
 180,1.6749, 0.000478189275
 180,1.6598, 0.000445937425
 180,1.6461, 0.000432782476
 180,1.6274, 0.000396155454
 180,1.6040, 0.000365969198
 180,1.5837, 0.000346717169
 180,1.5672, 0.000310975452
 180,1.5523, 0.000280552554
 180,1.5376, 0.000250502654
 180,1.5226, 0.000228648615
 180,1.5060, 0.000210609448
 180,1.4881, 0.000181360517
 180,1.4706, 0.000167292210
 180,1.4524, 0.000160611063
 180,1.4337, 0.000137716864
 180,1.4159, 0.000135079649
 180,1.4001, 0.000149958432
 180,1.3865, 0.000155969850
 180,1.3741, 0.000148132418
 180,1.3583, 0.000147001593
 180,1.3393, 0.000179903867
 180,1.3185, 0.000327918611
 180,1.2960, 0.000330165730
 180,1.2761, 0.000325636346
 180,1.2586, 0.000274649697
 180,1.2411, 0.000273705288
 180,1.2236, 0.000276484703
 180,1.2061, 0.000234211120
 180,1.1886, 0.000201623542
 180,1.1692, 0.000184758398
 180,1.1482, 0.000180065690
 180,1.1256, 0.000168828084
 180,1.1016, 0.000168890500
 180,1.0802, 0.000191954123
 180,1.0613, 0.000137274155
 180,1.0396, 0.000126434676
 180,1.0156, 0.000105547282
 180,0.9960, 0.000087858742
 180,0.9804, 0.000087383057
 180,0.9628, 0.000078780494
 180,0.9439, 0.000055164050
 180,0.9315, 0.000039637037
 180,0.9189, 0.000067277429
 180,0.9040, 0.000054462355
 180,0.8915, 0.000035109433
 180,0.8774, 0.000039169824
 180,0.8655, 0.000023843682
 180,0.8522, 0.000014293597
 180,0.8341, 0.000024254325
 180,0.8223, 0.000024393166
 180,0.8097, 0.000020796461
 180,0.7924, 0.000007297997
 180,0.7774, 0.000004656985
 180,0.7650, 0.000003457446
 180,0.7524, 0.000010821037
 180,0.7390, 0.000008955442
 180,0.7288, 0.000004176902
 180,0.7143, 0.000001895066
 180,0.6969, 0.000002951077
 180,0.6771, 0.000001102570
 180,0.6574, 0.000001268539
 180,0.6424, 0.000000900649
 180,0.6280, 0.000000450184
 180,0.6165, 0.000000436415
 180,0.6044, 0.000000339060
 180,0.5909, 0.000000105259
 180,0.5784, 0.000000210700
 180,0.5654, 0.000000165442
 180,0.5519, 0.000000188494
 180,0.5369, 0.000000248341
 180,0.5235, 0.000000211148
 180,0.5064, 0.000000192923
 180,0.4849, 0.000000136209
 180,0.4648, 0.000000083356
 180,0.4448, 0.000000122130
 180,0.4258, 0.000000291599
 180,0.4083, 0.000000496513
 180,0.3871, 0.000000870373
 180,0.3621, 0.000000693279
 180,0.3370, 0.000000202901
 180,0.3120, 0.000000066292
 180,0.2870, 0.000000006835
 180,0.2679, 0.000000001863


